source	target	p	cov	Disease_outcome	effect	group	group_type	source_type	tense	class
Rhodothermus marinus	RS	0.001	-0.013278277	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.013278277	-1
Salmonella enterica	RS	0	-0.033942001	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.033942001	-1
Sinorhizobium meliloti	RS	0	0.002701105	Diseased	Primary-bacterial-effect	facilitator_bacteria	1	bacteria	0.002701105	1
Stenotrophomonas maltophilia	RS	0.02	-0.014779391	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.014779391	-1
Streptomyces avermitilis	RS	0	-0.001217991	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.001217991	-1
Streptomyces griseus	RS	0	-0.039293345	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.039293345	-1
Streptomyces lividans	RS	0	0.004363973	Diseased	Primary-bacterial-effect	facilitator_bacteria	1	bacteria	0.004363973	1
Sulfitobacter sp. CB2047	RS	0	-0.002029393	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.002029393	-1
Synechococcus sp. WH 7803	RS	0	-0.0141125	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.0141125	-1
Synechococcus sp. WH 8102	RS	0	-0.014715236	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.014715236	-1
Synechococcus sp. WH 8109	RS	0	-0.010655022	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.010655022	-1
Vibrio alginolyticus	RS	0	-0.015346452	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.015346452	-1
Vibrio cholerae	RS	0	-0.00050306	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.00050306	-1
Vibrio parahaemolyticus	RS	0.014	0.005267557	Diseased	Primary-bacterial-effect	facilitator_bacteria	1	bacteria	0.005267557	1
Xanthomonas campestris	RS	0	-0.030420868	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.030420868	-1
Yersinia enterocolitica	RS	0	-0.021899505	Diseased	Primary-bacterial-effect	inhibitor_bacteria	-1	bacteria	0.021899505	-1
Ralstonia phage P4282	RS	0	0.001254996	Diseased	Primary-phage-effect	pathogen_specific_phage	-1	phage	0.001254996	1
Ralstonia phage RS138	RS	0	-0.001192324	Diseased	Primary-phage-effect	pathogen_specific_phage	-1	phage	0.001192324	-1
Ralstonia phage RSF1	RS	0.002	-0.007678291	Diseased	Primary-phage-effect	pathogen_specific_phage	-1	phage	0.007678291	-1
Ralstonia phage RSJ5	RS	0	-0.014717845	Diseased	Primary-phage-effect	pathogen_specific_phage	-1	phage	0.014717845	-1
Ralstonia phage RSL1	RS	0.017	0.000221216	Diseased	Primary-phage-effect	pathogen_specific_phage	-1	phage	0.000221216	1
Ralstonia phage RSL2	RS	0.001	0.002750093	Diseased	Primary-phage-effect	pathogen_specific_phage	-1	phage	0.002750093	1
