ID	H-0-2	H-0-3	H-0-4	H-0-5	H-3-2	H-3-3	H-3-4	H-3-5	H-4-2	H-4-3	H-4-4	H-4-5	H-5-2	H-5-3	H-5-4	H-5-5	H-6-2	H-6-3	H-6-4	H-6-5	D-0-1	D-0-2	D-0-3	D-0-5	D-3-1	D-3-2	D-3-3	D-3-5	D-4-1	D-4-2	D-4-3	D-4-5	D-5-1	D-5-2	D-5-3	D-5-5	D-6-1	D-6-2	D-6-3	D-6-5
vOTU33	50203.53	15657.96	19114.45	10565.25	11465.42	8907.62	3764.5	16647.05	2489.75	2936.99	13824.88	31475.94	3208.2	2303.54	3107.13	2103.5	3288.43	38041.98	11937.27	24747.23	38982.07	39263.17	9499.31	21354.22	32305.53	3047.82	23944.64	11837.03	17953.91	3846.86	6244.37	2738.01	18382.07	14642.89	36929.03	9911.2	57914.22	17343.89	18620.36	3572.99
vOTU34	20955.23	17322.84	17852.36	15624.53	0	0	102.2	103.49	66.52	188.12	374.15	56.01	0	234.4	246.3	311.78	57.54	0	0	0	1178.13	721.05	1813.9	3999.07	43.7	0	0	156.82	0	61.19	227.1	0	0	0	28.73	320.27	0	0	108.47	117.04
vOTU35	63479.42	87659.52	95213.2	95098.88	620.9	709.53	666.52	638.44	1008.39	552.65	527.6	454.14	746.07	908.97	1866.81	1912.47	811.36	449.48	557.51	424.01	32607.29	37586.89	47606.65	48666.5	400.53	262.09	289.37	552.83	561.9	366.71	260.2	546.01	212.1	248.54	222.79	395.18	192.04	487.93	172.07	474.5
vOTU36	23310.87	29923.36	33915.19	37056.59	3141.07	2504.51	2637.24	2278.8	2105.69	2265.42	1875.84	1435.7	1574.65	2127.13	2351.63	2724.74	3513.98	2703.09	3600.32	3526.19	11166.45	11966.27	14548.12	15869.36	2300.39	2395.23	3059.61	3012.54	2931.86	3494.88	2793.46	3015.75	2201.8	2668.26	1783.99	2001.91	2296.05	3383.1	3125.6	3553.84
vOTU37	10016.59	12668.82	12676.71	11157.79	20701.38	20928.69	22316.98	21577.68	21689.02	22918.87	20977.25	19975.11	32499	29744.44	28354.37	28914.95	32610.03	21645.79	34820.68	28342.39	11095.12	14183.14	17397.48	13521.73	16868.5	22934.31	19978.72	23145.11	21739.64	23768.41	21619.52	24626.02	24019.57	24688.98	18280.78	24666.48	22384.57	28854.28	28554.51	26500.47
vOTU38	26.9	158.6	72.74	125.17	579.99	892.19	1029.04	668.46	151.65	524.18	182.78	383.07	140.72	400.79	538.11	379.09	655.87	356.22	620.93	571.26	472.99	785.39	2186.48	810.4	31563.86	28454.3	28548.35	33089.61	1886.74	5277.75	1100.21	1524.75	290.95	185.45	338.36	365.08	413.97	569.72	803.68	600.36
vOTU39	30.73	0	0	20.43	2025.7	3144.68	2672.42	3368.59	8372.69	6205.18	6959.48	4959.04	6521.47	12106.25	9086.26	9485.71	2934.26	1643.83	2928.54	1555.17	86.83	114.75	108.59	104.14	22151.98	45203.56	20176.03	23685.3	2022.1	2190.98	2685.92	2429.15	6255.08	4095.45	3559.43	3672.03	1911.16	3216.28	2436.24	4368.59
vOTU4	15929.59	17528.08	11154.44	6717.63	26602.98	14729.96	10450.16	21351.73	2900.38	6412.01	14537.71	8925.13	7936.59	3224.17	1246.46	1488.84	1762.06	39552.04	6731.08	7647.66	52705.68	40919.75	22596.36	22307.32	19143.49	11541.83	19996.5	10744.41	11200.57	8861.31	11670	2667.58	32165.58	33497.19	55793.99	31751.98	16352.83	12572.14	14047.16	12788.04
vOTU40	2565.85	4291.05	4478.61	4031.63	54317.11	55703.85	60678.5	54487.4	62159.22	59421.08	57271.53	54477.38	77260.87	76845.44	93000.01	102233.85	72798.78	54068.71	71351.56	66048.74	3486.28	4561.47	4533.94	4005.63	49183.57	61818.98	55533.55	55665	52193.13	60564.35	54997.97	58454.69	56226.3	57393.2	42439.74	56843.53	36077.33	48415.33	46031.73	56842.47
vOTU41	2022.54	3469.16	2983.33	4051	39861.89	43609.99	44022.99	37474.55	48227.1	35550.21	47595.59	36491.49	57084.93	60051.79	65567.34	69545.74	55035.51	34282.83	50539.71	48195.53	3958.8	5207.9	7379.84	6330.72	29962.04	38718.36	32039	36267.67	37483.94	38277.35	37580.4	33852.53	35229.13	35252.2	27774.66	40560.83	26241.69	38086.47	31873.8	37302.32
vOTU42	12789.83	16472.28	16137.86	14927.88	1466.31	1619.75	1403.88	2067.74	1273.78	991.91	1112.49	233.15	572.62	390.29	974	986.36	574.83	437.08	614.42	584.12	17803.11	21530.84	25932.73	26635.03	509.33	506.42	865.61	1305.56	816.6	611.31	425.41	761.95	182.14	451.49	382.64	488.84	566.91	1008.25	857.89	341.04
vOTU43	5679.99	7528.14	6564.14	9810.78	38205.73	37034.23	37388.43	35304.91	38181.02	39044.53	35223.65	31456.22	45133.91	40505.9	43110.88	39681.22	43165.12	29958.31	36510.45	33300.52	7011.89	10119.84	12352.87	9397.06	31553.92	36521.73	34035.71	36024.64	40987.19	38142.02	42242.71	44221.86	38969.35	37374.35	27262.52	36494.51	32095.08	44410.53	39942.79	42617.97
vOTU44	0	0	0	0	32876.44	39938.24	30118.9	27540.01	25058.11	22513.89	20493.87	23311.81	30606.89	35771.95	50375.83	53217.12	12046.56	10216.09	15912.5	11335.16	0	0	0	0	4703.09	6762.7	4233.15	4614.99	13453.41	17801.81	13366.83	14562.13	9105.86	8846.22	8646.91	11624.66	13474.19	17117.06	25217.82	18255.36
vOTU45	0	0	120.61	59.3	18715.21	17328.98	21504.59	20145.7	16512.02	19594.67	12459.33	13126.45	12066.27	16391.65	15284.08	15242.3	18777.04	13560.8	15476.17	14839.08	0	0	0	0	14480.8	18650.1	14893.37	15148.63	19310.58	18349.69	20817.42	23950.64	14816.92	12777.95	13102.38	19235.8	14814.65	19619.22	24669.09	20203.69
